Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,47u,CP_EIA-3528-12_Kemet-T_Pad1.50x2.35mm_HandSolder,108.84,-34.39,180,top
C3,0.047u,C_0603_HandSoldering,76.5,-42.56,180,top
C4,0.047u,C_0603_HandSoldering,74.83,-77.26,180,top
C5,0.047u,C_0603_HandSoldering,86.98,-59.93,0,top
C6,0.047u,C_0603_HandSoldering,148.43,-34.72,90,top
C7,0.047u,C_0603_HandSoldering,123.28,-53.76,180,top
C8,0.047u,C_0603_HandSoldering,142.14,-26.59,90,top
C14,27p,C_0402_1005Metric,98.36,-29.83,0,top
C15,27p,C_0402_1005Metric,93.92,-33.39,180,top
C16,10u,C_0805_2012Metric,64.58,-27.19,90,top
C17,100n,C_0402_1005Metric,103.88,-35.26,90,top
C18,10u,C_0805_2012Metric,129.04,-24.39,180,top
C19,100n,C_0402_1005Metric,100.71,-32.34,180,top
C20,100n,C_0402_1005Metric,101.26,-30.39,90,top
C21,1u,C_0402_1005Metric,100.17,-30.38,90,top
C22,100n,C_0402_1005Metric,109.95,-37.9,-90,top
C23,1u,C_0402_1005Metric,93.31,-45.92,-90,top
C24,100n,C_0402_1005Metric,111.16,-37.9,-90,top
C25,100n,C_0402_1005Metric,94.39,-45.91,-90,top
C26,100n,C_0402_1005Metric,108.75,-37.89,-90,top
C27,100n,C_0402_1005Metric,102.74,-35.26,90,top
C28,100n,C_0402_1005Metric,107.6,-37.9,-90,top
C29,100n,C_0402_1005Metric,96.7,-45.91,-90,top
C30,100n,C_0402_1005Metric,95.5,-45.91,-90,top
C31,100n,C_0402_1005Metric,94.12,-44.39,180,top
C32,100n,C_0402_1005Metric,90.985,-60.65,90,top
D1,"CUS10S30,H3F",D_SOD-323,120.08,-68.12,90,top
D2,M7C,D_SOD-123,63.93,-33.78,90,top
D5,"CUS10S30,H3F",D_SOD-323,109.07,-31.35,180,top
F1,Fuse,Fuse_1206_3216Metric,67.48,-36.0675,-90,top
J1,Conn_01x06_Female,GCC_Header_Straight_1x06_Pitch2.00mm,113.42,-32.89,90,top
J3,Conn_01x02,PinHeader_1x02_P2.00mm_Horizontal,162.92,-50.78,0,top
J3,Conn_01x02,PinHeader_1x02_P2.00mm_Horizontal,70.074899,-24.68311,102,top
J3,Conn_01x02,PinHeader_1x02_P2.00mm_Horizontal,174.62,-58.135,180,top
J3,Conn_01x02,PinHeader_1x02_P2.00mm_Horizontal,162.85,-62.13,0,top
J4,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,125.07,-28.18,0,top
J5,Rumble,rumble_pins,64.368,-41.9115,-90,top
J8,USB_B_Micro,USB_Micro-B_Amphenol_10118194_Horizontal,142.68,-67.91,0,top
J14,Conn_01x06,PinSocket_1x06_P2.00mm_Vertical,63.443,-62.865,90,top
J15,Conn_01x06,PinSocket_1x06_P2.00mm_Vertical,105.495,-76.9,-90,top
Q1,Q_NMOS_GSD,SOT-23,71.6,-30.8275,-90,top
Q2,Q_PMOS_GDS,SOT-23,67.48,-30.8375,90,top
Q3,Q_NMOS_GSD,SOT-23,70.98,-37.4575,0,top
R3,2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,75.92,-74.52,90,top
R4,2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,82.99,-59.95,180,top
R5,2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,148.46,-38.46,-90,top
R6,2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,139.04,-27.29,180,top
R11,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,73.89,-39.3175,90,top
R12,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,71.55,-33.9475,180,top
R13,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,67.49,-27.8575,180,top
R14,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,75.87,-30.56,-90,top
R15,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,71.25,-40.2275,0,top
R16,1k,C_0402_1005Metric,107.18,-48.12,90,top
R17,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,137.44,-63.89,180,top
R18,1k,C_0402_1005Metric,96.13,-33.37,180,top
R20,27,C_0402_1005Metric,96.87,-52.4,90,top
R21,27,C_0402_1005Metric,95.83,-52.4,90,top
RV1,R_POT_MountingPin,GCC_Slider,122.325,-49.625,180,top
RV2,R_POT_MountingPin,GCC_Slider,86.12,-49.655,180,top
S1,BOOTSEL,SW_TS-1187A-B-A-B,111.8,-49.4,180,top
SW2,Z,Trigger_Contact,171.62,-51.97,180,top
SW2,R,Trigger_Contact,155.77,-51.77,-90,top
SW2,Z,Trigger_Contact,171.63,-61.81,0,top
SW2,L,Trigger_Contact,155.76,-63.1,-90,top
SW6,L,Pin_Header_Straight_1x02_Pitch2.54mm,132.155,-59.78,90,top
SW7,R,Pin_Header_Straight_1x02_Pitch2.54mm,70.6,-44.88,-90,top
U1,MCP3202,SOIC-8_3.9x4.9mm_P1.27mm,110.09,-41.9,90,top
U3,MCP3202,SOIC-8_3.9x4.9mm_P1.27mm,96.475,-70.45,180,top
U6,AMS1117-3.3,SOT-223-3_TabPin2,125.82,-69.19,180,top
U7,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,101.54,-51.42,0,top
U8,RP2040,RP2040-QFN-56,99.54,-40.6,180,top
U12,USBLC6-2P6,SOT-666,142.54,-61.86,0,top
U13,USBLC6-2P6,SOT-666,112.53,-30.12,-90,top
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,95.04,-30.91,0,top
